Unnamed: 0,State,Year,Quarter,brands,Count,Percentage,Count_log,Percentage_log
1502,Delhi,2018,1,OnePlus,86368,0.0413833682634874,11.366372515817732,-3.184876211633099
1503,Delhi,2018,1,Motorola,83639,0.0400757634562548,11.334265197469183,-3.216983529981649
1504,Delhi,2018,1,Lenovo,52568,0.0251880430584823,10.869862848577704,-3.6813858788731295
1505,Delhi,2018,1,Huawei,37398,0.0179193127815614,10.529372506036905,-4.021876221413929
1506,Delhi,2018,1,Others,253133,0.1212890903881224,12.441670321281787,-2.1095784061690437
1507,Delhi,2018,2,Xiaomi,708839,0.2571853181676845,13.471383699332685,-1.357958371577364
1508,Delhi,2018,2,Samsung,532749,0.193295263195896,13.185805672906076,-1.6435363980039746
1509,Delhi,2018,2,Vivo,313719,0.1138254537775824,12.656252959765741,-2.1730891111443102
1510,Delhi,2018,2,Oppo,254431,0.0923142175962695,12.446784958370257,-2.3825571125397937
1511,Delhi,2018,2,Apple,176650,0.0640932376101222,12.081925652787291,-2.7474164181227594
1512,Delhi,2018,2,Realme,113976,0.0413534721191695,11.643743178897067,-3.1855988920129823
1513,Delhi,2018,2,Motorola,107679,0.0390687559163337,11.586909858059801,-3.24243221285025
