State,Year,Quarter,District,Count,Amount,Count_log,Amount_log
Gujarat,2022,4,morbi district,3378672,7944369113.768206,15.032993290845722,22.795729227082173
Haryana,2018,1,yamunanagar district,102917,125333909.59597155,11.541678117117366,18.646492010515686
Haryana,2018,1,sonipat district,178766,279804665.74758285,12.09383296703994,19.449602295351774
Haryana,2018,1,jind district,117357,186842136.19643256,11.672975850117952,19.045774626825654
Haryana,2018,1,rohtak district,121728,215207976.23801103,11.709544326465007,19.187115449868063
Haryana,2018,1,faridabad district,521939,772738359.1903924,13.165306001798772,20.465451074728957
Haryana,2018,1,mahendragarh district,89413,119624307.98030695,11.401021364460279,18.599866622812044
Haryana,2018,1,hisar district,240517,355732765.75367296,12.390546052100497,19.689690348936217
Haryana,2018,1,karnal district,169313,247718779.0667546,12.039504351942323,19.32780470533942
Haryana,2018,1,fatehabad district,116455,105677674.30945694,11.665260211273507,18.475904211023405
Haryana,2018,1,palwal district,97942,145340107.56054282,11.492130745713522,18.794587123214022
Haryana,2018,1,charkhi dadri district,32910,49515979.82368229,10.401531841937386,17.717806000163083
Haryana,2018,1,ambala district,119503,189250271.9381209,11.691096754641098,19.05858088720614
Haryana,2018,1,rewari district,199418,280095218.8487885,12.203158403248148,19.450640170640842
Haryana,2018,1,panchkula district,86298,142847688.49278012,11.365561701831945,18.77728950515053
Haryana,2018,1,bhiwani district,125150,190361119.40027064,11.73726829685992,19.064433454638383
Haryana,2018,1,sirsa district,164867,164313975.8712107,12.012894367235127,18.917289642513452
